image_path,prob_malignant,entropy
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-003.png,0.7951873,0.5070023
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-006.png,0.42610604,0.6821864
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-007.png,0.20710208,0.5100918
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-008.png,0.44319063,0.68667865
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-010.png,0.25314218,0.5657609
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-016.png,0.20969504,0.5135523
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\benign\SOB_B_TA-14-21978AB-200-017.png,0.78658205,0.5184501
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-010.png,0.76890033,0.5406016
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-012.png,0.7433393,0.5695351
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-017.png,0.2703986,0.5836549
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-024.png,0.7471659,0.5654273
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-025.png,0.6556083,0.6439056
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-12312-200-029.png,0.7133038,0.599167
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-001.png,0.5872725,0.67783594
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-003.png,0.8094989,0.48694873
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-007.png,0.5783363,0.6808233
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-011.png,0.70440006,0.6070899
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-012.png,0.61387134,0.66698486
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-013.png,0.58330274,0.67920357
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-020.png,0.7386264,0.57448876
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-025.png,0.6917697,0.61767733
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-026.png,0.3754848,0.6618104
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-027.png,0.48656374,0.69278604
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-028.png,0.7502038,0.56211114
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-029.png,0.7932711,0.5095903
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-031.png,0.53575236,0.6905886
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-032.png,0.4016467,0.67367375
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-13993-200-034.png,0.81819785,0.47411516
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-002.png,0.673243,0.6318582
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-003.png,0.32705382,0.63207245
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-004.png,0.6392596,0.65384305
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-005.png,0.50224704,0.69313705
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-008.png,0.33891988,0.6403165
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-013.png,0.6558811,0.6437298
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-017.png,0.4209545,0.6805982
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-018.png,0.62121236,0.6634675
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-019.png,0.43241468,0.6839836
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-022.png,0.26815173,0.58141184
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-023.png,0.58483624,0.6786829
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-024.png,0.7441241,0.5686989
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-025.png,0.75411785,0.55776584
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-027.png,0.1823143,0.47488466
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-030.png,0.5971064,0.6741675
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-032.png,0.77966154,0.527336
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-14946-200-033.png,0.5477832,0.6885737
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-15696-200-007.png,0.7232461,0.58986133
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_DC-14-15696-200-018.png,0.807153,0.4903249
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-002.png,0.5944,0.67521703
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-003.png,0.4204648,0.6804416
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-004.png,0.38349256,0.6657481
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-005.png,0.6050293,0.67091966
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-006.png,0.49472043,0.69309145
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-007.png,0.31067505,0.61963975
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-008.png,0.7342635,0.5789721
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-009.png,0.21704103,0.5231373
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-010.png,0.59998214,0.6730189
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-011.png,0.2892573,0.6014853
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-012.png,0.44535127,0.6871623
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-015.png,0.25273776,0.56532294
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-016.png,0.24066062,0.5518402
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-12773-200-017.png,0.51584435,0.6926451
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-19979-200-001.png,0.6409725,0.6528566
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-19979-200-003.png,0.73461187,0.5786176
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-19979-200-005.png,0.41806543,0.6796599
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-19979-200-006.png,0.7586252,0.55265945
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-19979-200-008.png,0.81298125,0.48187113
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-19979-200-014.png,0.8301986,0.45557117
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-19979-200-017.png,0.75153905,0.56063795
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\200X\malignant\SOB_M_MC-14-19979-200-018.png,0.7979988,0.5031642
