image_path,prob_malignant,entropy
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-14946-40-022.png,0.37001914,0.6589658
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-14946-40-030.png,0.6230307,0.66256094
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-14946-40-031.png,0.37694982,0.6625511
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-20629-40-014.png,0.385394,0.66664314
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-20629-40-015.png,0.5399225,0.6899562
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-20629-40-016.png,0.29003394,0.60218203
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_DC-14-20629-40-019.png,0.41069758,0.6771114
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-001.png,0.58727264,0.6778359
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-002.png,0.72993207,0.5833264
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-007.png,0.4676576,0.6910536
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-008.png,0.43276125,0.6840776
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-009.png,0.7284016,0.5848422
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-010.png,0.78186,0.5245437
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-011.png,0.41999328,0.68028986
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-018.png,0.21031384,0.51437217
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-022.png,0.7236441,0.5894786
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-024.png,0.31771946,0.6251385
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-025.png,0.7242264,0.5889172
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-12773-40-026.png,0.59009737,0.67682314
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-19979-40-002.png,0.82266307,0.46733123
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-19979-40-021.png,0.69656426,0.61374736
C:\Users\91826\Desktop\dataset_cancer_v1\classificacao_binaria\40X\malignant\SOB_M_MC-14-19979-40-023.png,0.31550607,0.62343556
